candidate_id,rank,score,reasoning
CAND_0099806,1,89.431023,"4.6 years experience. AI Engineer at Mad Street Den. Positives: matched skills: embeddings, prompt engineering, bm25, weaviate, rag; open to work; short notice period; India-based (Bhubaneswar, Odisha)."
CAND_0005649,2,89.417757,"7.4 years experience. Senior Data Scientist at Sarvam AI. Positives: matched skills: prompt engineering, qlora, weaviate, rag, fine-tuning llms; open to work; India-based (Delhi, Delhi)."
CAND_0041568,3,89.311223,"5.2 years experience. Search Engineer at Haptik. Positives: matched skills: bm25, weaviate, vector search, qdrant, peft; open to work."
CAND_0058146,4,89.014343,"5.1 years experience. AI Research Engineer at PolicyBazaar. Positives: matched skills: prompt engineering, qdrant, information retrieval, recommendation systems; India-based (Ahmedabad, Gujarat)."
CAND_0044222,5,88.971364,"7.7 years experience. AI Engineer at PolicyBazaar. Positives: matched skills: nlp, bm25, qlora, opensearch, weaviate; open to work; India-based (Vizag, Andhra Pradesh)."
CAND_0024620,6,88.877399,"5.9 years experience. AI Engineer at PharmEasy. Positives: matched skills: prompt engineering, bm25, qlora, elasticsearch, peft; open to work."
CAND_0002025,7,88.765478,"5.9 years experience. Senior AI Engineer at Apple. Positives: matched skills: nlp, prompt engineering, qlora, opensearch, weaviate; open to work; short notice period; India-based (Trivandrum, Kerala)."
CAND_0098952,8,88.689454,"5.5 years experience. AI Research Engineer at CRED. Positives: matched skills: nlp, prompt engineering, qlora, opensearch, python; open to work; India-based (Gurgaon, Haryana)."
CAND_0044883,9,88.596480,"6.3 years experience. AI Engineer at Mad Street Den. Positives: matched skills: embeddings, prompt engineering, bm25, qlora, fine-tuning llms."
CAND_0098454,10,88.580056,"6.6 years experience. AI Specialist at Meesho. Positives: matched skills: embeddings, nlp, opensearch, weaviate, vector search; open to work; India-based (Indore, Madhya Pradesh)."
CAND_0036973,11,88.559555,"6.2 years experience. AI Research Engineer at Rephrase.ai. Positives: matched skills: nlp, qlora, weaviate, fine-tuning llms, peft; India-based (Vizag, Andhra Pradesh)."
CAND_0043381,12,88.516208,"3.6 years experience. AI Research Engineer at PharmEasy. Positives: matched skills: bm25, opensearch, pinecone; open to work; India-based (Pune, Maharashtra). Concerns: experience is below the preferred band."
CAND_0005311,13,88.499624,"5.7 years experience. AI Research Engineer at Aganitha. Positives: matched skills: nlp, prompt engineering, qlora, qdrant, fine-tuning llms; open to work; short notice period; India-based (Mumbai, Maharashtra)."
CAND_0036437,14,88.460571,"4.8 years experience. Search Engineer at Rephrase.ai. Positives: matched skills: opensearch, milvus, weaviate, vector search, elasticsearch; short notice period; India-based (Kolkata, West Bengal)."
CAND_0064326,15,88.404839,"7.6 years experience. Search Engineer at Sarvam AI. Positives: matched skills: bm25, qlora, milvus, weaviate, rag; open to work; India-based (Gurgaon, Haryana)."
CAND_0076831,16,88.367687,"4.0 years experience. Search Engineer at Krutrim. Positives: matched skills: nlp, bm25, milvus, weaviate, fine-tuning llms; open to work; India-based (Delhi, Delhi)."
CAND_0024466,17,88.345448,"5.2 years experience. Search Engineer at PharmEasy. Positives: matched skills: nlp, bm25, fine-tuning llms, lora, peft; open to work."
CAND_0053591,18,88.277915,"5.3 years experience. AI Engineer at Ola. Positives: matched skills: embeddings, bm25, opensearch, milvus, rag; open to work."
CAND_0062247,19,88.249235,"7.3 years experience. AI Engineer at Google. Positives: matched skills: bm25, learning to rank, rag, vector search, qdrant; open to work; short notice period; India-based (Kochi, Kerala)."
CAND_0091890,20,88.225557,"4.7 years experience. AI Research Engineer at Verloop.io. Positives: matched skills: opensearch, milvus, weaviate, learning to rank, elasticsearch; open to work; India-based (Hyderabad, Telangana)."
CAND_0076251,21,88.153194,"7.6 years experience. Search Engineer at Haptik. Positives: matched skills: weaviate, learning to rank, elasticsearch, fine-tuning llms, peft; open to work; India-based (Bhubaneswar, Odisha)."
CAND_0061339,22,88.082375,"4.2 years experience. Search Engineer at Rephrase.ai. Positives: matched skills: prompt engineering, opensearch, milvus, vector search, information retrieval; open to work; India-based (Chandigarh, Chandigarh)."
CAND_0068351,23,88.031335,"6.4 years experience. Lead AI Engineer at Sarvam AI. Positives: matched skills: nlp, qdrant, elasticsearch, lora, peft; short notice period; India-based (Delhi, Delhi)."
CAND_0046525,24,88.027905,"6.1 years experience. Senior Machine Learning Engineer at Genpact AI. Positives: matched skills: nlp, qdrant, elasticsearch, information retrieval; open to work; India-based (Pune, Maharashtra)."
CAND_0042506,25,88.008696,"4.2 years experience. Search Engineer at Verloop.io. Positives: matched skills: nlp, milvus, qdrant, fine-tuning llms, faiss; open to work; short notice period; India-based (Mumbai, Maharashtra)."
CAND_0050454,26,87.984934,"6.8 years experience. AI Engineer at Rephrase.ai. Positives: matched skills: nlp, bm25, qlora, qdrant, fine-tuning llms; open to work; short notice period; India-based (Delhi, Delhi)."
CAND_0093883,27,87.939865,"5.0 years experience. AI Research Engineer at Wysa. Positives: matched skills: embeddings, bm25, opensearch, milvus, qdrant; open to work; India-based (Bhubaneswar, Odisha)."
CAND_0008295,28,87.939598,"6.5 years experience. AI Research Engineer at Razorpay. Positives: matched skills: prompt engineering, bm25, qlora, weaviate, peft; open to work; India-based (Pune, Maharashtra)."
CAND_0052706,29,87.939126,"5.1 years experience. AI Research Engineer at Swiggy. Positives: matched skills: prompt engineering, weaviate, lora, peft, information retrieval; open to work; India-based (Coimbatore, Tamil Nadu)."
CAND_0007460,30,87.914896,"4.7 years experience. AI Engineer at Salesforce. Positives: matched skills: embeddings, nlp, weaviate, rag, lora; open to work; India-based (Pune, Maharashtra)."
CAND_0049538,31,87.913333,"5.8 years experience. Applied ML Engineer at Saarthi.ai. Positives: matched skills: embeddings, qlora, opensearch, milvus, learning to rank; short notice period; India-based (Jaipur, Rajasthan)."
CAND_0083307,32,87.903745,"7.8 years experience. Search Engineer at CRED. Positives: matched skills: embeddings, qlora, weaviate, learning to rank, vector search; open to work; India-based (Vizag, Andhra Pradesh)."
CAND_0037944,33,87.899696,"4.9 years experience. Senior Data Scientist at Vedantu. Positives: matched skills: embeddings, nlp, bm25, qlora, opensearch; open to work; short notice period; India-based (Jaipur, Rajasthan)."
CAND_0092278,34,87.874368,"6.8 years experience. Senior NLP Engineer at Microsoft. Positives: matched skills: nlp, qlora, milvus, vector search, elasticsearch; India-based (Pune, Maharashtra). Concerns: inactive recently."
CAND_0009024,35,87.849013,"5.2 years experience. Search Engineer at Google. Positives: matched skills: opensearch, qdrant, lora, faiss, peft; open to work; short notice period; India-based (Chennai, Tamil Nadu)."
CAND_0049896,36,87.821256,"7.3 years experience. Search Engineer at Unacademy. Positives: matched skills: nlp, vector search, fine-tuning llms, information retrieval; open to work; India-based (Vizag, Andhra Pradesh)."
CAND_0028793,37,87.800795,"7.2 years experience. Search Engineer at Google. Positives: matched skills: embeddings, nlp, qlora, learning to rank, lora; open to work; India-based (Trivandrum, Kerala)."
CAND_0012957,38,87.769620,"4.9 years experience. Search Engineer at Razorpay. Positives: matched skills: embeddings, bm25, rag, qdrant, fine-tuning llms; India-based (Chennai, Tamil Nadu)."
CAND_0077337,39,87.738842,"7.0 years experience. Staff Machine Learning Engineer at Paytm. Positives: matched skills: bm25, qlora, opensearch, rag, qdrant; open to work; India-based (Kochi, Kerala)."
CAND_0060054,40,87.727757,"6.4 years experience. AI Engineer at Mad Street Den. Positives: matched skills: prompt engineering, weaviate, elasticsearch, faiss, recommendation systems; short notice period; India-based (Jaipur, Rajasthan)."
CAND_0079387,41,87.716796,"6.9 years experience. AI Engineer at Microsoft. Positives: matched skills: bm25, qlora, opensearch, learning to rank, vector search; open to work; short notice period; India-based (Trivandrum, Kerala)."
CAND_0088025,42,87.703647,"8.6 years experience. Staff Machine Learning Engineer at Yellow.ai. Positives: matched skills: nlp, prompt engineering, bm25, qlora, learning to rank; open to work; India-based (Jaipur, Rajasthan)."
CAND_0065195,43,87.692701,"5.1 years experience. Search Engineer at CRED. Positives: matched skills: qlora, learning to rank, qdrant, elasticsearch; open to work; India-based (Kolkata, West Bengal)."
CAND_0093547,44,87.684948,"2.9 years experience. Senior Machine Learning Engineer at PhonePe. Positives: matched skills: qlora, milvus, weaviate, learning to rank, rag; India-based (Coimbatore, Tamil Nadu). Concerns: experience is below the preferred band."
CAND_0018722,45,87.682593,"6.6 years experience. Recommendation Systems Engineer at Saarthi.ai. Positives: matched skills: weaviate, peft, python, recommendation systems; open to work."
CAND_0079064,46,87.676063,"5.2 years experience. Senior Data Scientist at Niramai. Positives: matched skills: nlp, qlora, opensearch, fine-tuning llms, recommendation systems; open to work; India-based (Noida, Uttar Pradesh)."
CAND_0087630,47,87.644481,"7.2 years experience. AI Engineer at Vedantu. Positives: matched skills: embeddings, nlp, bm25, qlora, opensearch; short notice period; India-based (Gurgaon, Haryana)."
CAND_0041611,48,87.618191,"6.4 years experience. Staff Machine Learning Engineer at Locobuzz. Positives: matched skills: nlp, prompt engineering, bm25, qlora, opensearch; short notice period. Concerns: inactive recently."
CAND_0058575,49,87.615896,"5.8 years experience. AI Engineer at Krutrim. Positives: matched skills: recommendation systems, pinecone; open to work; India-based (Chennai, Tamil Nadu)."
CAND_0030953,50,87.588787,"7.8 years experience. Search Engineer at Nykaa. Positives: matched skills: weaviate, learning to rank, rag, qdrant, python; India-based (Chennai, Tamil Nadu)."
